## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
SKU:DOVE61,Sesitive Skin Beauty Bar,DOVE,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/SENSITIVE.png,,http://localhost:4502/editor.html/content/we-cpg/us/en/category-page/personal_care/DOVE.html,,,,,,,,,,,,,
SKU:LUX52,VELVET GLOW,LUX,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/VELVET.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/LUX.html,,,,,,,,,,,,,
SKU:LIFE12,Lifebuoy  Germ Protection Handwash,LIFEBOUY,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/GERM.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/LifeBuoy.html,,,,,,,,,,,,,
SKU:LIFE14,Lifebuoy Care Soap Bar,LIFEBOUY,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/LIFE1.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/LifeBuoy.html,,,,,,,,,,,,,
SKU:LUX54,SOFT GLOW BAR,LUX,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/SOFT%20GLOW.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/LUX.html,,,,,,,,,,,,,
SKU:LUX56,Fresh Splash,LUX,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/FLASH.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/LUX.html,,,,,,,,,,,,,
SKU:DOVE62,Pink Beauty Bar,DOVE,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/PINK%20BEAUTY.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/DOVE.html,,,,,,,,,,,,,
SKU:DOVE64,Shea Butter Bar,DOVE,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/SHEA.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/DOVE.html,,,,,,,,,,,,,
SKU:LIFE13,Lifebuoy  Germ Protection Handwash,LIFEBOUY,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/GERM1.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/LifeBuoy.html,,,,,,,,,,,,,
SKU:LIFE15,Life Bouy Soap,LIFEBOUY,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/LIFE2.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/LifeBuoy.html,,,,,,,,,,,,,
SKU:VASELINE05,VASELINE® HEALING JELLY,VASELINE,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/HEALING.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Beauty&Wellbeing/Vaseline.html,,,,,,,,,,,,,
SKU:VASELINE04,VASELINE® INTENSIVE CARE™,VASELINE,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/INTENSIVE.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Beauty&Wellbeing/Vaseline.html,,,,,,,,,,,,,
SKU:VASELINE06,VASELINE® LIP THERAPY,VASELINE,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/LIP.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Beauty&Wellbeing/Vaseline.html,,,,,,,,,,,,,
SKU:VASELINE07,VASELINE® CLINICAL,VASELINE,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/CLINICAL.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Beauty&Wellbeing/Vaseline.html,,,,,,,,,,,,,
SKU:ENERGY31,Lemon Hydration Multiplier,NUTRITION,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/LEMON.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Beauty&Wellbeing/Liquid_IV.html,,,,,,,,,,,,,
SKU:ENERGY32,ENERGY MULTIPLIER,NUTRITION,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/ENERGY.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Beauty&Wellbeing/Liquid_IV.html,,,,,,,,,,,,,
SKU:ENERGY33,Immune Support,NUTRITION,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/IMMUNE.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Beauty&Wellbeing/Liquid_IV.html,,,,,,,,,,,,,
SKU:ENERGY34,Piña Colada,NUTRITION,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/PINA.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Beauty&Wellbeing/Liquid_IV.html,,,,,,,,,,,,,
SKU:HELLMAN123,REAL MAYONNAISE,NUTRITION,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/123.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Hellmann%27s.html,,,,,,,,,,,,,
SKU:HELLMAN124,LIGHT MAYONNAISE ,NUTRITION,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/124.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Hellmann%27s.html,,,,,,,,,,,,,
SKU:HELLMAN125,MAYONNAISE DRESSING WITH OLIVE OIL,NUTRITION,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/125.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Hellmann%27s.html,,,,,,,,,,,,,
SKU:HELLMAN126,ORGANIC MAYONNAISE,NUTRITION,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/126.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Hellmann%27s.html,,,,,,,,,,,,,
SKU:KNORR81,Hot & Sour Veg Soup,NUTRITION,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/KNOR81.png,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Knorr.html,,,,,,,,,,,,,
SKU:KNORR82,Sweet Corn Veg Soup,NUTRITION,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/KNOR82.png,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Knorr.html,,,,,,,,,,,,,
SKU:KNORR83,Thick Tomato Soup,NUTRITION,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/KNOR83.png,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Knorr.html,,,,,,,,,,,,,
SKU:KNORR84,Chicken Delite Soup,NUTRITION,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/KNOR84.png,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Knorr.html,,,,,,,,,,,,,
SKU:NUTRITION23,Health &Nutririon Drink,NUTRITION,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/NUTRI1.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Horlicks.html,,,,,,,,,,,,,
SKU:NUTRITION24,Choclate Drink,NUTRITION,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/NUTRI2.jpeg,,http://localhost:4502/content/we-cpg/us/en/category-page/Nutrition/Horlicks.html,,,,,,,,,,,,,
SKU:DOVE24,Beauty Cream Bar,NUTRITION,,https://raw.githubusercontent.com/Shwetha256/Shwertha/main/BEAUTY%20CREAM.png,,http://localhost:4502/content/we-cpg/us/en/category-page/personal_care/DOVE.html,,,,,,,,,,,,,
SKU:ENERGY112,Carbonated Energy Drink,BEVERAGES,,,,http://localhost:4502/content/we-cpg/us/en/category-page/Drinks%20and%20Beverages/Carbonated%20Energy%20Drink.html,,,,,,,,,,,,,
SKU:ENERGY113,ENERGY DRINK COFFEE ,BEVERAGES,,,,http://localhost:4502/content/we-cpg/us/en/category-page/Drinks%20and%20Beverages/Energy%20Drink.html,,,,,,,,,,,,,
SKU:ENERGY114,Cafe Caramel,BEVERAGES,,,,http://localhost:4502/content/we-cpg/us/en/category-page/Drinks%20and%20Beverages/Cafe%20Caramel.html,,,,,,,,,,,,,
SKU:ENERGY115,BASIL SEED DRINK ,BEVERAGES,,,,http://localhost:4502/content/we-cpg/us/en/category-page/Drinks%20and%20Beverages/Basil%20Seed.html,,,,,,,,,,,,,
