## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
MEOTWICLS,Classic leather Gloves,gloves,Classic leather Gloves,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Gloves/Classic%20Leather.jpg,38,http://localhost:4502/content/we-retail/language-masters/en/products/men/gloves/classic-leather-gloves.html#meotwicls-S,,,,,,,,,,,,,
MESKWIMIS,Midweight Fleece Gloves,gloves,Midweight Fleece Gloves,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Gloves/Midweight%20Fleece.jpg,30,http://localhost:4502/content/we-retail/language-masters/en/products/men/gloves/midweight-fleece-gloves.html#meskwimis-One%20size,,,,,,,,,,,,,
EQBISUCOS,Comfort Gel Gloves,gloves,Comfort Gel Gloves,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Gloves/Comfort%20Gel.jpg,30,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/biking/comfort-gel-gloves.html#eqbisucos-S,,,,,,,,,,,,,
MEOTWIBRT,Brooklyn Coat,coat,Brooklyn Coat,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Coats/Brooklyn.jpg,89,http://localhost:4502/content/we-retail/language-masters/en/products/men/coats/brooklyn-coat.html#meotwibrt-S,,,,,,,,,,,,,
MESKWIELT.1,El Gordo Down Jacket Green,coat,El Gordo Down Jacket Green,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Coats/El%20Gordo%20Green.jpg,119,http://localhost:4502/content/we-retail/language-masters/en/products/men/coats/el-gordo-down-jacket.html#meskwielt.1-XS,,,,,,,,,,,,,
MEOTWIDOT,Double Breasted Raincoat,coat,Double Breasted Raincoat,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Coats/Double.jpg,104,http://localhost:4502/content/we-retail/language-masters/en/products/men/coats/double-breasted-raincoat.html#meotwidot-S,,,,,,,,,,,,,
MEOTWISLT,Slopeside Coat,coat,Slopeside Coat,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Coats/Slopeside.jpg,139,http://localhost:4502/content/we-retail/language-masters/en/products/men/coats/slopeside-coat.html#meotwislt-XS,,,,,,,,,,,,,
MEOTWIPOT,Portland Hooded Jacket,coat,Portland Hooded Jacket,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Coats/Portland.jpg,75,http://localhost:4502/content/we-retail/language-masters/en/products/men/coats/portland-hooded-jacket.html#meotwipot-S,,,,,,,,,,,,,
MEHIWIEXT,Expedition Tech Long-Sleeved Shirt,shirt,Expedition Tech Long-Sleeved Shirt,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shirts/Expedition.jpg,54,http://localhost:4502/content/we-retail/language-masters/en/products/men/shirts/expedition-tech-long-sleeved-shirt.html#mehiwiext-S,,,,,,,,,,,,,
WOHISURIT,Rios T Shirt,shirt,Rios T Shirt,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shirts/Rios.jpg,39,http://localhost:4502/content/we-retail/language-masters/en/products/women/shirts/rios-t-shirt.html#wohisurit-XXS,,,,,,,,,,,,,
WOSKWISLT,Sleek Insulated Coat,coat,Sleek Insulated Coat,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Coats/Sleek.jpg,75,http://localhost:4502/content/we-retail/language-masters/en/products/women/coats/sleek-insulated-coat.html#woskwislt-XS,,,,,,,,,,,,,
MEHISUTRS,Trail Model Pants,pants,Trail Model Pants,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Pants/Trail.jpg,69,http://localhost:4502/content/we-retail/language-masters/en/products/men/pants/trail-model-pants.html#mehisutrs-XS,,,,,,,,,,,,,
MEOTSUETT,Eton Short-Sleeve Shirt,shirt,Eton Short-Sleeve Shirt,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shirts/Eton.jpg,24,http://localhost:4502/content/we-retail/language-masters/en/products/men/shirts/eton-short-sleeve-shirt.html#meotsuett-S,,,,,,,,,,,,,
MEOTSUAMT,Amsterdam Short-Sleeve Travel Shirt,shirt,Amsterdam Short-Sleeve Travel Shirt,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shirts/Amsterdam.jpg,39,http://localhost:4502/content/we-retail/language-masters/en/products/men/shirts/amsterdam-short-sleeve-travel-shirt.html#meotsuamt-XS,,,,,,,,,,,,,
MEHISULAT,Laguna Short-Sleeve Shirt,shirt,Laguna Short-Sleeve Shirt,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shirts/Laguna.jpg,42,http://localhost:4502/content/we-retail/language-masters/en/products/men/shirts/laguna-short-sleeve-shirt.html#mehisulat-XS,,,,,,,,,,,,,
MEOTSUANN,Analog Dark Wash Jean,pants,Analog Dark Wash Jean,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Pants/Analog.jpg,98,http://localhost:4502/content/we-retail/language-masters/en/products/men/pants/analog-dark-wash-jean.html#meotsuann-28,,,,,,,,,,,,,
MEOTSUTRS,Tribeca Cargo Pants,pants,Tribeca Cargo Pants,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Pants/Tribeca.jpg,65,http://localhost:4502/content/we-retail/language-masters/en/products/men/pants/tribeca-cargo-pants.html#meotsutrs-S,,,,,,,,,,,,,
MEHISUCOS,Corona Shorts,shorts,Corona Shorts,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shorts/Corona.jpg,39,http://localhost:4502/content/we-retail/language-masters/en/products/men/shorts/corona-shorts.html#mehisucos-XS,,,,,,,,,,,,,
MEHISUBUS,Buffalo Plaid Shorts,shorts,Buffalo Plaid Shorts,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shorts/Buffalo.jpg,32,http://localhost:4502/content/we-retail/language-masters/en/products/men/shorts/buffalo-plaid-shorts.html#mehisubus-S,,,,,,,,,,,,,
MEHISUSTS,Stretch Fatigue Shorts,shorts,Stretch Fatigue Shorts,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shorts/Fatigue.jpg,44,http://localhost:4502/content/we-retail/language-masters/en/products/men/shorts/stretch-fatigue-shorts.html#mehisusts-S,,,,,,,,,,,,,
MEHISUSLS,Slot Canyon Active Shorts,shorts,Slot Canyon Active Shorts,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shorts/Canyon.jpg,39,http://localhost:4502/content/we-retail/language-masters/en/products/men/shorts/slot-canyon-active-shorts.html#mehisusls-XS,,,,,,,,,,,,,
MESUSUPIS.1,Pipeline Board Shorts Orange,shorts,Pipeline Board Shorts Orange,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shorts/Pipeline%20Orange.jpg,24,http://localhost:4502/content/we-retail/language-masters/en/products/men/shorts/pipeline-board-shorts.html#mesusupis.1-S,,,,,,,,,,,,,
MEOTWIZUF,Zurich Wool Scarf,scarf,Zurich Wool Scarf,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Scarfs/Source/Zurich.jpg,45,http://localhost:4502/content/we-retail/language-masters/en/products/men/scarfs/zurich-wool-scarf.html#meotwizuf-One%20size,,,,,,,,,,,,,
MEOTWISUS,Sussex Rain Boots,footwear,Sussex Rain Boots,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Footwear/Source/Sussex.jpg,65,http://localhost:4502/content/we-retail/language-masters/en/products/men/footwear/sussex-rain-boots.html#meotwisus-7,,,,,,,,,,,,,
